ID,parent_ID,restrictionRef*,bridgeRef,bridge_ID,name,descr,restrictionCategory*,restrictionType*,restrictionValue,restrictionUnit,restrictionStatus*,appliesToVehicleClass,grossMassLimit,axleMassLimit,heightLimit,widthLimit,lengthLimit,speedLimit,permitRequired,escortRequired,temporary,active,effectiveFrom,effectiveTo,approvedBy,direction,enforcementAuthority,temporaryFrom,temporaryTo,temporaryReason,approvalReference,issuingAuthority,legalReference,remarks,gazetteNumber,gazettePublicationDate,gazetteExpiryDate,reviewDueDate,approvalDate,restrictionReason,detourRoute,conditionTrigger,pbsClassApplicable,grossCombinationLimit,tandemAxleLimit,triAxleLimit,steerAxleLimit,pilotVehicleCount,signageRequired,restrictionSeverity,laneAvailability,lanesOpen,lanesTotal,laneWidthLimit
,,HVR-39336196,OSM-39336196,,Load limit - Wooyung Road,,Permanent,Load Limit,14.5,t,Active,,14.5,,,,,,,,,true,,,,,Local Council (inferred),,,,,Posted signage (OpenStreetMap),,"OPEN DATA (OpenStreetMap, ODbL). DQ: posted limit captured; NHVR gazette reference, approved-vehicle classes & axle breakdown NOT available from open data - verify against the NHVR National Network Map.",,,,,,Posted heavy-vehicle mass limit captured from open data (OpenStreetMap).,,,,,,,,,true,Major,,,,
,,HVR-39448401,OSM-39448401,,Load limit - Wellers Road,,Permanent,Load Limit,20,t,Active,,20,,,,,,,,,true,,,,,Local Council (inferred),,,,,Posted signage (OpenStreetMap),,"OPEN DATA (OpenStreetMap, ODbL). DQ: posted limit captured; NHVR gazette reference, approved-vehicle classes & axle breakdown NOT available from open data - verify against the NHVR National Network Map.",,,,,,Posted heavy-vehicle mass limit captured from open data (OpenStreetMap).,,,,,,,,,true,Moderate,,,,
,,HVR-41289536,OSM-41289536,,Load limit - Sodwalls Road,,Permanent,Axle Group Limit,6,t,Active,,,6,,,,,,,,true,,,,,Local Council (inferred),,,,,Posted signage (OpenStreetMap),,"OPEN DATA (OpenStreetMap, ODbL). DQ: posted limit captured; NHVR gazette reference, approved-vehicle classes & axle breakdown NOT available from open data - verify against the NHVR National Network Map.",,,,,,Posted heavy-vehicle clearance limit captured from open data (OpenStreetMap).,,,,,,,,,true,Moderate,,,,
,,HVR-42007245,OSM-42007245,,Load limit - Tourist Road,,Permanent,Load Limit,10,t,Active,,10,,,,,,,,,true,,,,,Local Council (inferred),,,,,Posted signage (OpenStreetMap),,"OPEN DATA (OpenStreetMap, ODbL). DQ: posted limit captured; NHVR gazette reference, approved-vehicle classes & axle breakdown NOT available from open data - verify against the NHVR National Network Map.",,,,,,Posted heavy-vehicle mass limit captured from open data (OpenStreetMap).,,,,,,,,,true,Major,,,,
,,HVR-42024570,OSM-42024570,,Load limit - Ingram Road,,Permanent,Load Limit,3,t,Active,,3,,,,,,,,,true,,,,,Local Council (inferred),,,,,Posted signage (OpenStreetMap),,"OPEN DATA (OpenStreetMap, ODbL). DQ: posted limit captured; NHVR gazette reference, approved-vehicle classes & axle breakdown NOT available from open data - verify against the NHVR National Network Map.",,,,,,Posted heavy-vehicle mass limit captured from open data (OpenStreetMap).,,,,,,,,,true,Major,,,,
,,HVR-42528891,OSM-42528891,,Load limit - Railway Terrace,,Permanent,Load Limit,10,t,Active,,10,,,,,,,,,true,,,,,Local Council (inferred),,,,,Posted signage (OpenStreetMap),,"OPEN DATA (OpenStreetMap, ODbL). DQ: posted limit captured; NHVR gazette reference, approved-vehicle classes & axle breakdown NOT available from open data - verify against the NHVR National Network Map.",,,,,,Posted heavy-vehicle mass limit captured from open data (OpenStreetMap).,,,,,,,,,true,Major,,,,
,,HVR-44352221,OSM-44352221,,Load limit - Dunolly Road,,Permanent,Load Limit,3,t,Active,,3,,,,,,,,,true,,,,,Local Council (inferred),,,,,Posted signage (OpenStreetMap),,"OPEN DATA (OpenStreetMap, ODbL). DQ: posted limit captured; NHVR gazette reference, approved-vehicle classes & axle breakdown NOT available from open data - verify against the NHVR National Network Map.",,,,,,Posted heavy-vehicle mass limit captured from open data (OpenStreetMap).,,,,,,,,,true,Major,,,,
,,HVR-45088476,OSM-45088476,,Load limit - Jacksons Road,,Permanent,Load Limit,3,t,Active,,3,,,,,,,,,true,,,,,Local Council (inferred),,,,,Posted signage (OpenStreetMap),,"OPEN DATA (OpenStreetMap, ODbL). DQ: posted limit captured; NHVR gazette reference, approved-vehicle classes & axle breakdown NOT available from open data - verify against the NHVR National Network Map.",,,,,,Posted heavy-vehicle mass limit captured from open data (OpenStreetMap).,,,,,,,,,true,Major,,,,
,,HVR-45227425,OSM-45227425,,Height limit - Gardeners Road,,Permanent,Height Limit,4.7,m,Active,,,,4.7,,,,,,,true,,,,,Local Council (inferred),,,,,Posted signage (OpenStreetMap),,"OPEN DATA (OpenStreetMap, ODbL). DQ: posted limit captured; NHVR gazette reference, approved-vehicle classes & axle breakdown NOT available from open data - verify against the NHVR National Network Map.",,,,,,Posted heavy-vehicle clearance limit captured from open data (OpenStreetMap).,,,,,,,,,true,Moderate,,,,
,,HVR-45369658,OSM-45369658,,Load limit - Scroggies Road,,Permanent,Load Limit,2,t,Active,,2,,,,,,,,,true,,,,,Local Council (inferred),,,,,Posted signage (OpenStreetMap),,"OPEN DATA (OpenStreetMap, ODbL). DQ: posted limit captured; NHVR gazette reference, approved-vehicle classes & axle breakdown NOT available from open data - verify against the NHVR National Network Map.",,,,,,Posted heavy-vehicle mass limit captured from open data (OpenStreetMap).,,,,,,,,,true,Major,,,,
,,HVR-47108006,OSM-47108006,,Load limit - Miller Street,,Permanent,Load Limit,3,t,Active,,3,,,,,,,,,true,,,,,Local Council (inferred),,,,,Posted signage (OpenStreetMap),,"OPEN DATA (OpenStreetMap, ODbL). DQ: posted limit captured; NHVR gazette reference, approved-vehicle classes & axle breakdown NOT available from open data - verify against the NHVR National Network Map.",,,,,,Posted heavy-vehicle mass limit captured from open data (OpenStreetMap).,,,,,,,,,true,Major,,,,
,,HVR-47198110,OSM-47198110,,Load limit - Glenhaven Road,,Permanent,Load Limit,8,t,Active,,8,,,,,,,,,true,,,,,Local Council (inferred),,,,,Posted signage (OpenStreetMap),,"OPEN DATA (OpenStreetMap, ODbL). DQ: posted limit captured; NHVR gazette reference, approved-vehicle classes & axle breakdown NOT available from open data - verify against the NHVR National Network Map.",,,,,,Posted heavy-vehicle mass limit captured from open data (OpenStreetMap).,,,,,,,,,true,Major,,,,
,,HVR-48385346,OSM-48385346,,Load limit - Bylong Valley Way,,Permanent,Load Limit,39,t,Active,,39,,4.8,,,,,,,true,,,,,Local Council (inferred),,,,,Posted signage (OpenStreetMap),,"OPEN DATA (OpenStreetMap, ODbL). DQ: posted limit captured; NHVR gazette reference, approved-vehicle classes & axle breakdown NOT available from open data - verify against the NHVR National Network Map.",,,,,,Posted heavy-vehicle mass limit captured from open data (OpenStreetMap).,,,,,,,,,true,Moderate,,,,
,,HVR-48994033,OSM-48994033,,Load limit - O'Briens Lane,,Permanent,Load Limit,25,t,Active,,25,,,,,,,,,true,,,,,Local Council (inferred),,,,,Posted signage (OpenStreetMap),,"OPEN DATA (OpenStreetMap, ODbL). DQ: posted limit captured; NHVR gazette reference, approved-vehicle classes & axle breakdown NOT available from open data - verify against the NHVR National Network Map.",,,,,,Posted heavy-vehicle mass limit captured from open data (OpenStreetMap).,,,,,,,,,true,Moderate,,,,
,,HVR-49131988,OSM-49131988,,Height limit - Vinegaroy Road,,Permanent,Height Limit,4.8,m,Active,,,,4.8,,,,,,,true,,,,,Local Council (inferred),,,,,Posted signage (OpenStreetMap),,"OPEN DATA (OpenStreetMap, ODbL). DQ: posted limit captured; NHVR gazette reference, approved-vehicle classes & axle breakdown NOT available from open data - verify against the NHVR National Network Map.",,,,,,Posted heavy-vehicle clearance limit captured from open data (OpenStreetMap).,,,,,,,,,true,Moderate,,,,
,,HVR-50193919,OSM-50193919,,Load limit - Murrays Road,,Permanent,Load Limit,20,t,Active,,20,,,,,,,,,true,,,,,Local Council (inferred),,,,,Posted signage (OpenStreetMap),,"OPEN DATA (OpenStreetMap, ODbL). DQ: posted limit captured; NHVR gazette reference, approved-vehicle classes & axle breakdown NOT available from open data - verify against the NHVR National Network Map.",,,,,,Posted heavy-vehicle mass limit captured from open data (OpenStreetMap).,,,,,,,,,true,Moderate,,,,
