ID,descr,bridgeId,bridgeName*,assetClass,route,routeNumber,state*,region,lga,latitude*,longitude*,location,assetOwner*,managingAuthority,structureType,yearBuilt,designLoad,designStandard,clearanceHeight,spanLength,material,spanCount,totalLength,deckWidth,numberOfLanes,condition,conditionRating,structuralAdequacyRating,postingStatus,conditionStandard,seismicZone,asBuiltDrawingReference,floodImmunityAriYears,floodImpacted,highPriorityAsset,remarks,status,lastInspectionDate,nhvrAssessed,nhvrAssessmentDate,loadRating,pbsApprovalClass,importanceLevel,averageDailyTraffic,heavyVehiclePercent,gazetteReference,nhvrReferenceUrl,freightRoute,overMassRoute,hmlApproved,bDoubleApproved,dataSource,sourceReferenceUrl,openDataReference,sourceRecordId,restriction_ID,geoJson
,,OSM-26184121,Hoxton Park Road,Road Bridge,,,NSW,Sydney Metropolitan,,-33.927784,150.873539,,Local Council (inferred),,Beam Bridge,,,,,,,,27,,,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: INCOMPLETE - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, yearBuilt, postingStatus. No engineering/inspection data from open source.",Active,,,,,,3,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/26184121,OSM:way/26184121,26184121,,"{""type"":""LineString"",""coordinates"":[[150.8736491,-33.9278059],[150.8736058,-33.9277976],[150.8733614,-33.9277471]]}"
,,OSM-26203659,Gilchrist Drive,Road Bridge,,,NSW,Sydney Metropolitan,,-34.071482,150.800197,,Local Council (inferred),,Beam Bridge,,,,,,,,236,,2,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: INCOMPLETE - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, yearBuilt, postingStatus. No engineering/inspection data from open source.",Active,,,,,,2,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/26203659,OSM:way/26203659,26203659,,"{""type"":""LineString"",""coordinates"":[[150.8004773,-34.072698],[150.8004039,-34.0722755],[150.8002145,-34.0715618],[150.8000577,-34.0709551],[150.8000245,-34.0707876],[150.8000066,-34.0706169]]}"
,,OSM-26210873,Maitland Road,Road Bridge,,,NSW,Hunter,,-32.908541,151.747387,,Local Council (inferred),,Beam Bridge,,,,,,,,31,,4,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: INCOMPLETE - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, yearBuilt, postingStatus. No engineering/inspection data from open source.",Active,,,,,,3,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/26210873,OSM:way/26210873,26210873,,"{""type"":""LineString"",""coordinates"":[[151.7475176,-32.9084543],[151.7472567,-32.9086273]]}"
,,OSM-26234415,Main Road,Road Bridge,,,NSW,Hunter,,-32.941104,151.662497,,Local Council (inferred),,Beam Bridge,,,,,,,,34,,2,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: INCOMPLETE - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, yearBuilt, postingStatus. No engineering/inspection data from open source.",Active,,,,,,2,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/26234415,OSM:way/26234415,26234415,,"{""type"":""LineString"",""coordinates"":[[151.6623154,-32.9411052],[151.6626791,-32.9411023]]}"
,,OSM-26236769,Minjungbal Drive,Road Bridge,,,NSW,Northern Rivers,,-28.183095,153.537633,,Local Council (inferred),,Beam Bridge,,,,,,,,208,,,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: INCOMPLETE - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, yearBuilt, postingStatus. No engineering/inspection data from open source.",Active,,,,,,2,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/26236769,OSM:way/26236769,26236769,,"{""type"":""LineString"",""coordinates"":[[153.537799,-28.1840015],[153.5377178,-28.1835543],[153.537633,-28.183108],[153.5375501,-28.1826574],[153.5374639,-28.1821518]]}"
,,M1,Pacific Motorway,Road Bridge,,M1,NSW,Northern Rivers,,-28.191783,153.526874,,Transport for NSW (inferred),,Beam Bridge,,,,,,,,247,,2,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: INCOMPLETE - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, yearBuilt, postingStatus. No engineering/inspection data from open source.",Active,,,,,,4,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/26236970,OSM:way/26236970,26236970,,"{""type"":""LineString"",""coordinates"":[[153.5265999,-28.1908324],[153.5267624,-28.1913878],[153.5269196,-28.1919267],[153.5272125,-28.1929856]]}"
,,OSM-26326371,Ocean Street,Road Bridge,,,NSW,Sydney Metropolitan,,-33.703671,151.304769,,Local Council (inferred),,Beam Bridge,,,,,,,,69,,2,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: INCOMPLETE - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, yearBuilt, postingStatus. No engineering/inspection data from open source.",Active,,,,,,1,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/26326371,OSM:way/26326371,26326371,,"{""type"":""LineString"",""coordinates"":[[151.304629,-33.703958],[151.3049094,-33.7033849]]}"
,,OSM-26352591,Creek Flat Road,Road Bridge,,,NSW,Sydney Metropolitan,,-33.561862,150.922288,,Local Council (inferred),,Beam Bridge,,,,,,,,16,,,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: INCOMPLETE - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, yearBuilt, postingStatus. No engineering/inspection data from open source.",Active,,,,,,1,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/26352591,OSM:way/26352591,26352591,,"{""type"":""LineString"",""coordinates"":[[150.9222043,-33.5618535],[150.9223726,-33.5618709]]}"
,,OSM-26381521,Huntley Road,Road Bridge,,,NSW,Illawarra & Shoalhaven,,-34.516831,150.78193,,Local Council (inferred),,Beam Bridge,,,,,,,,26,,,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: INCOMPLETE - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, yearBuilt, postingStatus. No engineering/inspection data from open source.",Active,,,,,,1,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/26381521,OSM:way/26381521,26381521,,"{""type"":""LineString"",""coordinates"":[[150.7820733,-34.516835],[150.7817863,-34.5168262]]}"
,,OSM-26382101,Nolan Street,Road Bridge,,,NSW,Illawarra & Shoalhaven,,-34.465496,150.845728,,Local Council (inferred),,Beam Bridge,,,,,,,,68,,,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: INCOMPLETE - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, yearBuilt, postingStatus. No engineering/inspection data from open source.",Active,,,,,,2,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/26382101,OSM:way/26382101,26382101,,"{""type"":""LineString"",""coordinates"":[[150.8456417,-34.4651997],[150.8458134,-34.4657924]]}"
,,OSM-26382106,Emerson Road,Road Bridge,,,NSW,Illawarra & Shoalhaven,,-34.504261,150.791288,,Local Council (inferred),,Beam Bridge,,,,,,,,75,,,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: INCOMPLETE - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, yearBuilt, postingStatus. No engineering/inspection data from open source.",Active,,,,,,1,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/26382106,OSM:way/26382106,26382106,,"{""type"":""LineString"",""coordinates"":[[150.7909301,-34.504101],[150.7916464,-34.5044214]]}"
,,OSM-26383275,Harvey Street,Road Bridge,,,NSW,Illawarra & Shoalhaven,,-34.493063,150.803067,,Local Council (inferred),,Beam Bridge,,,,,,,,47,,,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: INCOMPLETE - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, yearBuilt, postingStatus. No engineering/inspection data from open source.",Active,,,,,,1,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/26383275,OSM:way/26383275,26383275,,"{""type"":""LineString"",""coordinates"":[[150.8032802,-34.493183],[150.802854,-34.4929431]]}"
,,A1,Pacific Highway,Road Bridge,,A1,NSW,Regional NSW,,-31.916955,152.511898,,Transport for NSW (inferred),,Beam Bridge,2013,,,,,,,572,,2,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: PARTIAL - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, postingStatus. No engineering/inspection data from open source.",Active,,,,,,4,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/26387487,OSM:way/26387487,26387487,,"{""type"":""LineString"",""coordinates"":[[152.5124823,-31.914487],[152.5124095,-31.914749],[152.5121489,-31.9158122],[152.5120045,-31.9163689],[152.5117742,-31.9174332],[152.511559,-31.9183813],[152.5114648,-31.9188758],[152.5113411,-31.9195343]]}"
,,A1,Pacific Highway,Road Bridge,,A1,NSW,Regional NSW,,-31.906449,152.52048,,Transport for NSW (inferred),,Beam Bridge,2013,,,,,,,551,,2,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: PARTIAL - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, postingStatus. No engineering/inspection data from open source.",Active,,,,,,4,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/26387595,OSM:way/26387595,26387595,,"{""type"":""LineString"",""coordinates"":[[152.5177327,-31.9079965],[152.5202339,-31.906585],[152.5213466,-31.9059517],[152.5226052,-31.9052636]]}"
,,A1,Pacific Highway,Road Bridge,,A1,NSW,Regional NSW,,-31.906622,152.520537,,Transport for NSW (inferred),,Beam Bridge,2013,,,,,,,553,,2,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: PARTIAL - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, postingStatus. No engineering/inspection data from open source.",Active,,,,,,4,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/26387597,OSM:way/26387597,26387597,,"{""type"":""LineString"",""coordinates"":[[152.5227573,-31.9053701],[152.5212062,-31.9062328],[152.5202988,-31.9067585],[152.5178852,-31.9081252]]}"
,,B73;8,Moss Vale Road,Road Bridge,,B73;8,NSW,Illawarra & Shoalhaven,,-34.72755,150.520925,,Transport for NSW (inferred),,Beam Bridge,,,,4.9,,,,85,,1,,,,Restricted,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: PARTIAL - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, yearBuilt. No engineering/inspection data from open source. HV: load limit 42.5t, clearance 4.9m (posted, open data; NHVR gazettal/route approval NOT verified).",Active,,,,42.5,,3,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/26404688,OSM:way/26404688,26404688,,"{""type"":""LineString"",""coordinates"":[[150.5207587,-34.7271908],[150.5210919,-34.7279082]]}"
,,B73;8,Moss Vale Road,Road Bridge,,B73;8,NSW,Illawarra & Shoalhaven,,-34.740912,150.544697,,Transport for NSW (inferred),,Beam Bridge,,,,,,,,47,,2,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: INCOMPLETE - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, yearBuilt, postingStatus. No engineering/inspection data from open source.",Active,,,,,,3,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/26404692,OSM:way/26404692,26404692,,"{""type"":""LineString"",""coordinates"":[[150.5444991,-34.7407785],[150.5448953,-34.7410453]]}"
,,M1,Princes Motorway,Road Bridge,,M1,NSW,Illawarra & Shoalhaven,,-34.496734,150.799492,,Transport for NSW (inferred),,Beam Bridge,2013,,,,,,,31,,2,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: PARTIAL - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, postingStatus. No engineering/inspection data from open source.",Active,,,,,,4,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/26405975,OSM:way/26405975,26405975,,"{""type"":""LineString"",""coordinates"":[[150.7996045,-34.4966316],[150.7993797,-34.4968354]]}"
,,M1,Princes Motorway,Road Bridge,,M1,NSW,Illawarra & Shoalhaven,,-34.479999,150.824778,,Transport for NSW (inferred),,Beam Bridge,2013,,,,,,,250,,2,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: PARTIAL - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, postingStatus. No engineering/inspection data from open source.",Active,,,,,,4,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/26406693,OSM:way/26406693,26406693,,"{""type"":""LineString"",""coordinates"":[[150.8257223,-34.4791844],[150.8238346,-34.4808128]]}"
,,OSM-26406697,Kanahooka Road,Road Bridge,,,NSW,Illawarra & Shoalhaven,,-34.487776,150.808594,,Local Council (inferred),,Beam Bridge,,,,,,,,78,,,,,,Restricted,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: PARTIAL - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, yearBuilt. No engineering/inspection data from open source. HV: load limit 5t (posted, open data; NHVR gazettal/route approval NOT verified).",Active,,,,5,,2,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/26406697,OSM:way/26406697,26406697,,"{""type"":""LineString"",""coordinates"":[[150.8082772,-34.4875439],[150.8089102,-34.4880081]]}"
,,OSM-26428540,New Lake Entrance Road,Road Bridge,,,NSW,Illawarra & Shoalhaven,,-34.572881,150.822607,,Local Council (inferred),,Beam Bridge,,,,,,,,21,,,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: INCOMPLETE - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, yearBuilt, postingStatus. No engineering/inspection data from open source.",Active,,,,,,3,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/26428540,OSM:way/26428540,26428540,,"{""type"":""LineString"",""coordinates"":[[150.8226499,-34.5727938],[150.8225634,-34.5729673]]}"
,,OSM-26448062,Murray Valley Highway,Road Bridge,,,NSW,Regional NSW,,-34.568386,142.763799,,Local Council (inferred),,Beam Bridge,,,,,,,,183,,2,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: INCOMPLETE - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, yearBuilt, postingStatus. No engineering/inspection data from open source.",Active,,,,,,3,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/26448062,OSM:way/26448062,26448062,,"{""type"":""LineString"",""coordinates"":[[142.7640646,-34.5691547],[142.7638058,-34.5684282],[142.7635253,-34.5675738]]}"
,,OSM-26448063,Murray Valley Highway,Road Bridge,,,NSW,Regional NSW,,-34.571619,142.764973,,Local Council (inferred),,Beam Bridge,,,,,,,,157,,2,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: INCOMPLETE - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, yearBuilt, postingStatus. No engineering/inspection data from open source.",Active,,,,,,3,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/26448063,OSM:way/26448063,26448063,,"{""type"":""LineString"",""coordinates"":[[142.7652314,-34.5722932],[142.7647149,-34.5709457]]}"
,,OSM-26448081,Murray Valley Highway,Road Bridge,,,NSW,Regional NSW,,-34.563068,142.762104,,Local Council (inferred),,Beam Bridge,,,,,,,,49,,2,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: INCOMPLETE - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, yearBuilt, postingStatus. No engineering/inspection data from open source.",Active,,,,,,3,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/26448081,OSM:way/26448081,26448081,,"{""type"":""LineString"",""coordinates"":[[142.7621668,-34.5632796],[142.762042,-34.5628554]]}"
,,OSM-26452512,Princes Highway,Road Bridge,,,NSW,Illawarra & Shoalhaven,,-34.546634,150.785211,,Local Council (inferred),,Beam Bridge,,,,,,,,115,,2,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: INCOMPLETE - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, yearBuilt, postingStatus. No engineering/inspection data from open source.",Active,,,,,,3,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/26452512,OSM:way/26452512,26452512,,"{""type"":""LineString"",""coordinates"":[[150.7852057,-34.5461153],[150.7852161,-34.5471524]]}"
,,OSM-26490451,Lawrence Hargrave Drive,Road Bridge,,,NSW,Illawarra & Shoalhaven,,-34.316512,150.920079,,Local Council (inferred),,Beam Bridge,,,,,,,,27,,,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: INCOMPLETE - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, yearBuilt, postingStatus. No engineering/inspection data from open source.",Active,,,,,,2,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/26490451,OSM:way/26490451,26490451,,"{""type"":""LineString"",""coordinates"":[[150.9202282,-34.3165094],[150.9199293,-34.3165153]]}"
,,OSM-26495238,McKell Avenue,Road Bridge,,,NSW,Sydney Metropolitan,,-34.152149,151.028611,,Local Council (inferred),,Beam Bridge,,,,,,,,46,,,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: INCOMPLETE - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, yearBuilt, postingStatus. No engineering/inspection data from open source.",Active,,,,,,1,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/26495238,OSM:way/26495238,26495238,,"{""type"":""LineString"",""coordinates"":[[151.0284092,-34.1520355],[151.0284705,-34.1520833],[151.0285129,-34.1521124],[151.0285553,-34.1521363],[151.0286314,-34.1521719],[151.0286964,-34.1521974],[151.0287771,-34.1522229],[151.0288347,-34.1522361]]}"
,,OSM-26561694,New Lake Entrance Road,Road Bridge,,,NSW,Illawarra & Shoalhaven,,-34.572833,150.822488,,Local Council (inferred),,Beam Bridge,,,,,,,,21,,,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: INCOMPLETE - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, yearBuilt, postingStatus. No engineering/inspection data from open source.",Active,,,,,,3,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/26561694,OSM:way/26561694,26561694,,"{""type"":""LineString"",""coordinates"":[[150.8224177,-34.572915],[150.8224561,-34.5728768],[150.8225315,-34.5727816],[150.8225465,-34.5727567]]}"
,,OSM-26665511,Yalwal Road,Road Bridge,,,NSW,Illawarra & Shoalhaven,,-34.893348,150.577051,,Local Council (inferred),,Beam Bridge,,,,,,,,24,,2,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: INCOMPLETE - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, yearBuilt, postingStatus. No engineering/inspection data from open source.",Active,,,,,,1,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/26665511,OSM:way/26665511,26665511,,"{""type"":""LineString"",""coordinates"":[[150.577176,-34.8933107],[150.5769255,-34.8933845]]}"
,,A1,Princes Highway,Road Bridge,,A1,NSW,Illawarra & Shoalhaven,,-34.86108,150.600488,,Transport for NSW (inferred),,Beam Bridge,,,,,,,,43,,3,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: INCOMPLETE - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, yearBuilt, postingStatus. No engineering/inspection data from open source.",Active,,,,,,4,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/26665616,OSM:way/26665616,26665616,,"{""type"":""LineString"",""coordinates"":[[150.6003609,-34.8609201],[150.6006153,-34.8612407]]}"
,,OSM-26668605,Haywards Bay Drive,Road Bridge,,,NSW,Illawarra & Shoalhaven,,-34.540856,150.786965,,Local Council (inferred),,Beam Bridge,,,,,,,,29,,,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: INCOMPLETE - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, yearBuilt, postingStatus. No engineering/inspection data from open source.",Active,,,,,,1,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/26668605,OSM:way/26668605,26668605,,"{""type"":""LineString"",""coordinates"":[[150.7871101,-34.5408034],[150.7868192,-34.5409085]]}"
,,OSM-26720778,Old Pooncarie Road,Road Bridge,,,NSW,Far West,,-32.706869,142.094042,,Local Council (inferred),,Beam Bridge,,,,,,,,794,,,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: INCOMPLETE - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, yearBuilt, postingStatus. No engineering/inspection data from open source.",Active,,,,,,1,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/26720778,OSM:way/26720778,26720778,,"{""type"":""LineString"",""coordinates"":[[142.0908192,-32.7097377],[142.0919216,-32.7087357],[142.0926759,-32.7080501],[142.0945582,-32.7063963],[142.0956547,-32.7054326],[142.0959757,-32.7051505],[142.0966852,-32.7045829]]}"
,,M23,Federal Highway,Road Bridge,,M23,NSW,South East & Tablelands,,-34.803361,149.60943,,Transport for NSW (inferred),,Beam Bridge,,,,,,,,93,,2,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: INCOMPLETE - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, yearBuilt, postingStatus. No engineering/inspection data from open source.",Active,,,,,,4,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/26772292,OSM:way/26772292,26772292,,"{""type"":""LineString"",""coordinates"":[[149.6093011,-34.8037341],[149.6093535,-34.8035556],[149.6094747,-34.8032176],[149.6095917,-34.8029365]]}"
,,OSM-26809040,Cleveland Road,Road Bridge,,,NSW,Illawarra & Shoalhaven,,-34.501505,150.786116,,Local Council (inferred),,Beam Bridge,,,,,,,,79,,2,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: INCOMPLETE - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, yearBuilt, postingStatus. No engineering/inspection data from open source.",Active,,,,,,1,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/26809040,OSM:way/26809040,26809040,,"{""type"":""LineString"",""coordinates"":[[150.7865561,-34.5016375],[150.7863417,-34.501571],[150.7860734,-34.5014888],[150.7858703,-34.5014297],[150.7857397,-34.501397]]}"
,,OSM-26810024,Fowlers Road,Road Bridge,,,NSW,Illawarra & Shoalhaven,,-34.500752,150.80042,,Local Council (inferred),,Beam Bridge,,,,,,,,17,,,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: INCOMPLETE - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, yearBuilt, postingStatus. No engineering/inspection data from open source.",Active,,,,,,2,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/26810024,OSM:way/26810024,26810024,,"{""type"":""LineString"",""coordinates"":[[150.8003435,-34.5007096],[150.8004966,-34.5007936]]}"
,,A28,Betts Road,Road Bridge,,A28,NSW,Sydney Metropolitan,,-33.84347,150.956009,,Transport for NSW (inferred),,Beam Bridge,2013,,,,,,,45,,3,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: PARTIAL - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, postingStatus. No engineering/inspection data from open source.",Active,,,,,,4,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/27105942,OSM:way/27105942,27105942,,"{""type"":""LineString"",""coordinates"":[[150.9559067,-33.8436528],[150.9559428,-33.843587],[150.9559916,-33.8435056],[150.956031,-33.843435],[150.9560705,-33.8433597],[150.9561106,-33.8432808]]}"
,,A28,Betts Road,Road Bridge,,A28,NSW,Sydney Metropolitan,,-33.843501,150.956153,,Transport for NSW (inferred),,Beam Bridge,2013,,,,,,,46,,3,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: PARTIAL - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, postingStatus. No engineering/inspection data from open source.",Active,,,,,,4,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/27105945,OSM:way/27105945,27105945,,"{""type"":""LineString"",""coordinates"":[[150.9562615,-33.8433017],[150.9562057,-33.8434034],[150.956156,-33.8434993],[150.9560902,-33.8436185],[150.9560503,-33.843681]]}"
,,OSM-27214749,Morton Avenue,Road Bridge,,,NSW,South East & Tablelands,,-34.847685,148.944272,,Local Council (inferred),,Beam Bridge,,,,,,,,61,,,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: INCOMPLETE - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, yearBuilt, postingStatus. No engineering/inspection data from open source.",Active,,,,,,1,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/27214749,OSM:way/27214749,27214749,,"{""type"":""LineString"",""coordinates"":[[148.9439373,-34.8476861],[148.9446071,-34.8476846]]}"
,,OSM-27219643,Flat Rock Crossing,Road Bridge,,,NSW,South East & Tablelands,,-34.835793,148.913179,,Local Council (inferred),,Beam Bridge,,,,,,,,20,,2,,,,,,,,,,,"OPEN DATA (OpenStreetMap, ODbL). DQ: INCOMPLETE - geometry & identity captured; owner/region/importance INFERRED (verify). Missing: condition, conditionRating, lastInspectionDate, lga, yearBuilt, postingStatus. No engineering/inspection data from open source.",Active,,,,,,1,,,,,,,,,"OpenStreetMap (open data, ODbL)",https://www.openstreetmap.org/way/27219643,OSM:way/27219643,27219643,,"{""type"":""LineString"",""coordinates"":[[148.9131833,-34.8358747],[148.9131796,-34.8358113],[148.913173,-34.8356928]]}"
